,Ticker,Name ,RetYTD,ggroup,Industry
476,CTRN,Citi Trends Inc ,-0.6622,2550,Retailing
477,CTS,Cts Corp ,-0.0659,4520,Technology Hardware & Equipment
478,CTSH,Cognizant Tech Sol ,-0.0449,4510,Software & Services
479,CTSO,Cytosorbents Cor ,-0.315,3510,Health Care Equipment & Services
480,CTT,Catchmark Timber Trust Inc ,-0.0344,6010,Real Estate
481,CTXS,Citrix Systems Inc ,0.0809,4510,Software & Services
482,CUBE,Cubesmart ,-0.0568,6010,Real Estate
483,CUBI,Customers Bancorp ,-0.3257,4010,Banks
484,CUTR,Cutera Inc ,0.5603,3510,Health Care Equipment & Services
485,CUZ,Cousins Properties Inc ,-0.0425,6010,Real Estate
486,CVBF,Cvb Financial Corp ,0.0635,4010,Banks
487,CVCO,Cavco Inds Inc ,-0.2572,2520,Consumer Durables & Apparel
488,CVGW,Calavo Growers Inc ,-0.0927,3020,"Food, Beverage & Tobacco"
489,CVI,Cvr Energy Inc ,0.577,1010,Energy
490,CVLT,Commvault Systems ,-0.0705,4510,Software & Services
491,CVM,Cel-Sci Corp ,-0.5352,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
492,CVS,CVS Corp ,0.005,3510,Health Care Equipment & Services
493,CVX,Chevron Corp ,0.4622,1010,Energy
494,CW,Curtiss-Wright Corp ,0.0912,2010,Capital Goods
495,CWH,Camping World Holdings Inc ,-0.3364,2550,Retailing
496,CWST,Casella Waste Sys ,0.0292,2020,Commercial  & Professional Services
497,CWST,Casella Waste Sys ,0.0292,2020,Commercial  & Professional Services
498,CWT,California Water Service Group Holding ,-0.2246,5510,Utilities
499,CXW,Corecivic Inc ,0.349,2020,Commercial  & Professional Services
500,CXW,Corecivic Inc ,0.349,2020,Commercial  & Professional Services
501,CYH,Community Health Systems ,-0.139,3510,Health Care Equipment & Services
502,CYRX,Cryoport Inc ,-0.4984,3510,Health Care Equipment & Services
503,CYTK,Cytokinetics ,-0.1321,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
504,CZNC,Citizens Nrthn Cp ,-0.0636,4010,Banks
505,D,Dominion Resources ,0.1125,5510,Utilities
506,DAL,Delta Air Lines Inc ,0.0839,2030,Transportation
507,DAN,Dana Inc ,-0.3168,2510,Automobiles & Components
508,DAR,Darling International Inc ,0.1599,3020,"Food, Beverage & Tobacco"
509,DBD,Diebold Nixdorf Inc ,-0.3989,4520,Technology Hardware & Equipment
510,DCI,Donaldson Company ,-0.1487,2010,Capital Goods
511,DCO,Ducommun Inc ,0.1849,2010,Capital Goods
512,DDD,3D Systems Corp ,-0.3315,4520,Technology Hardware & Equipment
513,DDS,Dillard's ,0.2117,2550,Retailing
514,DE,Deere & Company ,0.2737,2010,Capital Goods
515,DEA,Easterly Government Properties ,-0.1222,6010,Real Estate
516,DECK,Deckers Outdoor Corp ,-0.2595,2520,Consumer Durables & Apparel
517,DEI,Douglas Emmett ,-0.0743,6010,Real Estate
518,DENN,Dennys Corp ,-0.17,2530,Consumer Services
519,DFIN,Donnelly Financial Solutions Inc ,-0.3532,4020,Diversified Financials
520,DFS,Discover Financial Services ,-0.0292,4020,Diversified Financials
521,DG,Dollar General Corp ,0.0549,2550,Retailing
522,DGII,Digi Intl Inc ,-0.1807,4520,Technology Hardware & Equipment
523,DGX,Quest Diagnostics Inc ,-0.2144,3510,Health Care Equipment & Services
524,DHI,D.R. Horton ,-0.3314,2520,Consumer Durables & Apparel
525,DHIL,Diamond Hill Inv ,-0.0732,4020,Diversified Financials
526,DHR,Danaher Corp ,-0.1581,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
527,DHT,Dht Holdings ,0.2158,1010,Energy
