,Ticker,Book/Price,E/P,EBIT/P,SALES/P,Total assets turnover,LT_Debit/Total_assets,ROA,RE/Total_Assets,NET PROFIT MARGIN,Market_Value/Book_Equity,SALES/PS
447,VECO,0.30346769402677737,0.01805572727766329,0.04101267125394107,0.4044661817087952,0.6488237728259709,0.2917452746235717,0.06579041042252519,-0.7561937137365179,0.10139950658092123,3.295243677278419,0.4044661817087952
448,VSH,0.5506094031767463,0.09408734142081769,0.1477136842344577,1.0232198098423373,0.9145503698997843,0.15681984118002165,0.13202598626066356,0.10765293062287043,0.14436163453209347,1.816169491894781,1.0232198098423373
449,VNO,0.6297233892495515,0.021929791224958497,0.045795645132394765,0.2162345771325354,0.10050653898732048,0.45982176675553965,0.021285965704399733,-0.17935529590443694,0.21178687395737594,1.5879988215011536,0.2162345771325354
450,VMC,0.2376037115696417,0.02435211149288245,0.03508693464202577,0.20156200571076618,0.4057854501337465,0.33457091488459795,0.0706371596041688,0.26280092964787394,0.1740751413853968,4.2086884644767,0.20156200571076618
451,WDFC,0.06099745830225476,0.02137812028579937,0.027043722455263517,0.14858324786884683,1.1346015718160962,0.2835916997324519,0.20650948505705446,0.940730306390239,0.18201057550670036,16.39412571987504,0.14858324786884683
452,WMT,0.2041898778895328,0.034088418292092526,0.0627898067504606,1.40525278050851,2.205710189468348,0.22950858627463405,0.09855601672897789,0.3049434446486281,0.044682214916336435,4.897402409638554,1.40525278050851
453,WBA,0.5332470447214935,0.05788095083829526,0.09280989599405644,3.017209643836218,1.6301777695761825,0.37893830350003077,0.050144553115580984,0.4061265916220705,0.03076017478058094,1.875303407489645,3.017209643836218
454,GHC,1.3664087656529518,0.11394212067136447,0.03443911317544061,1.0310775657568128,0.4290570700388188,0.1253718760626353,0.014330973230848998,1.090582686072702,0.03340108864667445,0.7023270159921975,1.0310775657568128
455,WRE,0.5905136357119406,0.007347589648419361,0.0027584853471330248,0.07770040176300892,0.09235637214191517,0.2673494691347627,0.003278795134739237,-0.20340416867004904,0.0355015583516103,1.693440996996404,0.07770040176300892
456,AVA,0.7092756628647608,0.048497835711581824,0.07512697707335539,0.4736536151022894,0.20995382998936468,0.3008229418101452,0.03330112147179074,0.11302000719915409,0.15861164082349738,1.4098890633875762,0.4736536151022894
457,WMK,0.6883263709254452,0.06142580738292506,0.0827921398171441,2.383928423294235,2.2111867467514625,0.08462241065703556,0.07679294416310081,0.7122050798885095,0.034729289272342194,1.452799198519031,2.383928423294235
458,WST,0.06710815021214325,0.019016945195853556,0.021924945881590007,0.08136654883133716,0.8544872955519343,0.08202064095600217,0.2302492606675116,0.6931921057396342,0.26945896313038564,14.901319688276098,0.08136654883133716
459,WDC,0.4890886828500991,0.037453764445474436,0.056020977757664556,0.7719763726508141,0.6475585489055564,0.3320832695545691,0.04699219347925915,0.28095821215368133,0.07256825434345822,2.044618972110811,0.7719763726508141
460,WY,0.3498749158993898,0.08471476787867643,0.11704740847679038,0.3314826801420707,0.5778948561069567,0.2944142306820757,0.2040561975980059,0.09358712893723091,0.3531026369963729,2.858164316894214,0.3314826801420707
461,WHR,0.35001957393820415,0.1287835122434622,0.1647533322643507,1.5879447653799872,1.0838057678087256,0.28212965245255117,0.11244762139511955,0.38516144934680796,0.10375255856265636,2.8569830788278994,1.5879447653799872
462,WMB,0.35994007320172194,0.047947760014665636,0.08486469059945763,0.3358871757915963,0.22320003360497354,0.45767873645299506,0.05639334621523986,-0.2787112492648912,0.2526583231391738,2.778240252897787,0.3358871757915963
463,WSM,0.16777346815701363,0.06916593149951908,0.09644054461518278,0.6892257037791074,1.4551752854921587,0.2199021157483207,0.20361674887330566,0.21723941010300715,0.1399259256966008,5.9604180028282725,0.6892257037791074
464,WGO,0.45917187947534804,0.12245432046912258,0.17493263341975815,1.57692862263902,1.7598686491153985,0.27180547347067996,0.19522662778954575,0.5684688061042381,0.11093249935878839,2.177833714779321,1.57692862263902
465,WEC,0.3564160099085297,0.0425059044914371,0.056007203697553194,0.271593624088199,0.21329366351616502,0.34761019274914395,0.043984764738320276,0.17368967772548313,0.20621693121693122,2.805710103361067,0.271593624088199
466,LNT,0.3890444485750558,0.04377561908841196,0.05163444684760758,0.23829784337593987,0.19775777502290734,0.36425375949981137,0.04285021290357355,0.17517382633536355,0.21668029435813574,2.570400383973289,0.23829784337593987
467,WWW,0.26641540568240873,0.02902810805243525,0.0848416277625841,1.0218655704930888,0.9336916176925456,0.3286421280544386,0.0775208784410764,0.39796628518403954,0.08302621226551823,3.7535366899618805,1.0218655704930888
468,WWD,0.3101108427543075,0.029214769871081386,0.0345987704226432,0.31445856461862004,0.5489684194882234,0.18305824193767595,0.06040106536195027,0.6196263802235343,0.11002648461683688,3.2246534533211184,0.31445856461862004
