gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,dltt,dt,ebit,ebitda,icapt,lct,lt,ni,re,sale,xad,costat,prcc_c,mkvalt
28785,20211231,2021,INDL,C,D,STD,WINA,USD,17.432,26.899,-39.083,3.636,48.186,52.898,51.336,51.767,9.103,9.978,65.982,39.92,-39.083,78.216,0.348,A,248.29,902.7824
28787,20210630,2021,INDL,C,D,STD,PFGC,USD,3580.4,7845.7,2106.1,132.5,2873.5,2999.2,253.8,592.7,4979.6,2527.2,5739.6,40.7,352,29203.1,,A,45.89,6424.925
28790,20210531,2020,INDL,C,D,STD,LW,USD,1781.7,4209.4,480.6,146.192,2825.7,2886.8,494.8,677.5,3306.3,618.2,3728.8,317.8,1274.1,3672.5,17.8,A,78.74,12059.3781
28806,20210930,2021,INDL,C,D,STD,ARWR,USD,384.597,710.148,408.822,104.327,23.295,25.545,-149.036,-140.769,432.117,146.536,301.326,-140.848,-644.761,138.287,,A,66.3,6513.1346
28866,20210930,2021,INDL,C,D,STD,CASH,USD,,6690.65,870.729,31.67,128.986,,319.77,319.77,1000.87,,5818.766,141.708,266.788,556.758,,A,59.66,1662.0416
28930,20211231,2021,INDL,C,D,STD,MAR,USD,3626,25553,1414,326.3,10431,11386,1729,2032,11845,6407,24139,1099,9963,13829,470,A,165.24,53917.812
28940,20211231,2021,INDL,C,D,STD,BDC,USD,1467.028,3417.677,955.287,44.975,1527.216,1545.54,283.877,371.063,2483.298,718.539,2461.595,63.925,435.151,2408.1,12.8,A,65.73,2956.2068
28967,20211231,2021,INDL,C,D,STD,QCRH,USD,,6096.132,677.01,15.613,153.305,,150.953,158.344,830.315,,5419.122,98.905,387.629,300.577,4.254,A,56,874.328
29004,20210930,2021,INDL,C,D,STD,VREX,USD,554.2,1147.5,483.3,39.436,450.7,459.9,77.1,114.2,947.2,166.6,651,17.4,33.5,818.1,,A,31.55,1112.0952
29011,20211231,2021,INDL,C,D,STD,BYD,USD,507.803,6224.169,1538.746,111.303,3805.895,3932.452,923.08,1190.867,5344.641,557.042,4685.423,463.846,709.908,3369.81,16.1,A,65.57,7298.1377
29015,20210331,2020,INDL,C,D,STD,DECK,USD,1650.799,2167.705,1444.225,27.91,176.274,223.042,507.727,548.257,1620.499,468.368,723.48,382.575,1240.636,2545.641,188.345,A,286.78,9222.0222
29018,20211231,2021,INDL,C,D,STD,ALBO,USD,268.93,302.051,175.608,19.297,80.954,93.885,-112.868,-112.594,256.562,45.347,126.443,-34.03,-299.745,40.579,,A,23.29,449.4271
29028,20210831,2021,INDL,C,D,STD,COST,USD,29505,59268,17564,441.825,10314,11407,7307,9088,28392,29441,41190,5007,10529,195929,,A,567.7,201246.8693
29052,20211231,2021,INDL,C,D,STD,LXP,USD,,4005.558,2196.842,283.753,1514.883,1526.158,78.348,,3838.111,,1682.33,382.648,-1055.692,343.807,,A,15.62,4432.2219
29099,20211231,2021,INDL,C,D,STD,REG,USD,,10792.563,6037.371,170.785,3917.495,3934.732,416.443,,10027.427,,4682.631,361.411,-1825.041,1213.871,,A,75.35,12868.6498
29101,20211231,2021,INDL,C,D,STD,FFIN,USD,,13102.461,1759.224,141.595,21.053,,336.393,349.454,1780.277,,11343.237,227.562,1080.928,518.581,6.368,A,50.84,7198.6898
29108,20211231,2021,INDL,C,D,STD,PTEN,USD,583.653,2957.848,1609.487,215.14,870.431,877.322,-664.927,184.251,2479.918,435.853,1348.361,-654.545,-192.401,1357.081,,A,8.45,1817.933
29127,20211231,2021,INDL,C,D,STD,INCY,USD,3118.674,4933.352,3770.004,221.084,47.24,60.429,620.49,678.29,3817.244,854.308,1163.348,948.581,-797.328,2986.267,66,A,73.4,16227.5656
29133,20211231,2021,INDL,C,D,STD,ITRI,USD,749.929,2393.79,1116.077,45.152,507.542,524.144,39.764,123.917,1650.301,501.344,1251.031,-81.255,-663.698,1981.572,,A,68.52,3093.815
29150,20210131,2020,INDL,C,D,STD,URBN,USD,1223.332,3546.345,1477.358,97.816,1074.009,1328.712,36.668,138.865,2551.367,906.132,2068.987,1.236,1457.988,3449.749,229.027,A,25.6,2683.0929
29151,20211231,2021,INDL,C,D,STD,CNTY,USD,140.68,703.358,141.624,29.625,486.699,494.61,68.518,95.28,637.056,60.433,553.001,20.622,22.859,388.506,2.3,A,12.18,360.8325
29156,20211231,2021,INDL,C,D,STD,UFPI,USD,2073.476,3245.271,1978.613,61.902,354.199,420.037,724.714,822.846,2370.768,776.042,1228.702,535.64,1672.716,8636.134,,A,92.01,5695.603
